city,count
Bad Dürrenberg,1
Bad Dürrheim,1
Bad eilsen,1
Bad Ems,2
Bad Essen,0
Bad Godesberg,1
Bad Hall,1
Bad Harzburg,2
Bad Homburg,2
Bad Homburg v.d.H.,1
Bad Honnef,1
Bad Kissingen,1
Bad Köstritz,1
Bad Kreuznach,2
Bad Liebenstein,1
Bad Liebenzell,1
Bad Lippspringe,1
Bad Mergentheim,11
Bad Münster a. Stein,1
Bad Münster am Stein,1
Bad Nassau,1
Bad Nauheim,3
Bad Neuenahr,1
Bad Oeynhausen,6
Bad Pfäffers,1
Bad Pyrmont,1
Bad Rehburg,0
Bad Reichenhall,1
Bad Reinerz,1
Bad Sachsa,4
Bad Salzuflen,1
Bad Schachen a. Bodensee,1
Bad Schussenried,2
Bad Stuer,0
Bad Teinach,2
Bad Tölz,1
Bad Tölz Heilbrunn,1
Bad Urach,1
Bad Waldsee,1
Bad Wildungen,1
Bad Wurzach,1
Bad. Godesberg,1
Badbergen,0
Badeleben,0
Baden,2
Baden-Baden,14
Baden­Schweiz,2
Badenweiler,6
Badresch,0
Baerwalde i.d. Neumark,0
Baesweiler,0
Bagband,1
Bagow,0
Bahia,1
Bahia­Brasilien,1
Bahlingen,1
Bahrenburg,0
Baienfurt,0
Baiersbronn,1
Baiersbronn-Klosterreichenbach,1
Baiersbronn-Mitteltal,0
Baiersbronn-Mittelthal,0
Baindt,0
Baisingen,0
Baku i. Kaukasus­Russland,0
Baldenburg,0
Baldern,0
Balgach,0
Balingen,5
Ballenstedt,6
Ballenstedt a. Harz,0
Ballenstedt a.H.,0
Ballerstedt i. Harz,0
Ballum,0
Ballyshannon­Irland,0
Baltimore,1
Baltimor­USA,0
Baltmannsweiler,0
Bamberg,0
Bammenthal,0
Bandong­Java,0
Banskow­Mazedonien,0
Banßen,0
Banteln,0
Bar Harbor,1
Baranowitschi,1
Baranzy,2
Baranzy­Frankreich,1
Barbeck,0
Barbeke,0
Barby,0
Barcelona­Spanien,1
Bardeleben,0
Bardenfleth,0
Barenthin,1
Bäretsweil,0
Bäretswil,0
Bargen,0
Barkau,0
Barlin,0
Barlt,0
Barlt i. Holstein,1
Barmbeck,0
Barmen,4
Barmen-Wichlinghausen,0
Barmstedt,0
Barnimscunow,0
Barnstädt,1
Barop,0
Barse­Ungarn,0
Barten,0
Bartenstein,1
Bartholomä,0
Bartschin,0
Barum,1
Baruth,0
Bärwalde,0
Bärwalde i.d.NM.,0
Basbach,0
Basel,1
Basel­[Schweiz],0
Basel­Schweiz,35
Basentin,0
Batavia­[Java],0
Batavia­Indonesien,1
Batria­Brasilien,0
Battin,0
Battle-Zwittau,1
Baum Erlenbach,0
Baumgarten,0
Bautzen,1
Bavelberg,0
Bavendorf,0
Bayern,0
Bayreuth,1
Bazenheid,1
Beauclair,1
Beauclair­Frankreich,1
Bebenhausen,2
Becelaere,2
Bechtheim,0
Bechtolsheim i. Rheinhessen,0
Beckem,0
Beckum,0
Bedburg,1
Beelitz,0
Beerenthal,0
Beesenstedt,1
Begnins,0
Behle,0
Behndorf,0
Behringersdorf,1
bei Ypern,1
Bei Zandwoord,1
Beihingen,1
Beilstein,6
Belgard,0
Belgien,2
Bellamont,0
Bellevue,0
Bellinzona­Schweiz,1
Belsenberg,0
Beltus-y-Coed,0
Belzig,1
Bempflingen,0
Bendersyl i. Ostfriesland,0
Bendorf,0
Benediktbeuren,1
Benfeld,0
Benken,0
Benningen,1
Bennwil,0
Bensenville,1
Benzenzimmern,0
Beograd­Jugoslavien,1
Beraix,0
Berchardtsweiler,0
Berchtesgaden,3
Berditschnew­Russland,1
Berenbeck,0
Berent,0
Berg,0
Berge,0
Bergedorf,1
Bergen a. Rügen,0
Bergen auf Rügen,0
Bergen bei Celle,0
Bergen­Norwegen,0
Bergerhausen,0
Bergfelden,0
Berghausen,1
Bergisch Gladbach,0
Bergisch-Gladbach,1
Bergkirchen,0
Berg-Stuttgart,0
Bergün,0
Bergzabern i.d. Rheinpfalz,0
Berkheim,0
Berkstein,0
Berkum,1
Berküm,0
Berleburg,2
Berlichingen,0
Berlin,178
Berlin ?,2
Berlin-Baumschulenweg,1
Berlin-Charlottenburg,10
Berlinchen i.d. Neumark,0
Berlin-Dahlem,5
Berlin-Friedenau,4
Berlin-Frohnau,1
Berlingen,0
Berlin-Hermsdorf,1
Berlin-Lichterfelde,5
Berlin-Mariendorf,1
Berlin-Ost,2
Berlin-Pankow,1
Berlin-Plötzensee,4
Berlin-Schöneberg,4
Berlin-Steglitz,5
Berlin-Wilmersdorf,2
Berlin-Zehlendorf,2
Bermaringen,0
Bermeringen,0
Bern,1
Bern­[Schweiz],1
Bernau i.d.M.,0
Bernburg,2
Bernburg a.d. Saale,1
Berne,0
Berneck,1
Berner Oberland­Schweiz,1
Bernhausen,0
Bernloch,0
Bernried a. Starnberger See,1
Bern­Scheiz,1
Bern­Schweiz,10
Bernsfelden,0
Bernstein,0
Bernstein a.W.,0
Bero-Münster,0
Beromünster­Schweiz,2
Bersenbrück,0
Besenfeld,0
Besigheim,2
Bethel,5
Bettens­Schweiz,1
Bettenwarfen,0
Bettweisen?,0
Bettwyl,0
Betzdorf,0
Betzingen,0
Beuel,1
Beuggen,0
Beuren,0
Beuron,1
Beutelsbach,1
Beuthen,0
Beutig Doebeln,0
Bevensen,0
Bex,1
Beyendorf,1
Biala­Österreich,0
Biatra?,0
Biberach,8
Biberach a.d. Riß,3
Biberachzell,0
Biberfeld,0
Bibersohl,0
Biblith i. Hinterpommern,0
Bichel,0
Bichishausen,0
Bickelsberg,0
Bicken-Mittenaar,1
Biebrich,1
Biebrich a.Rh.,0
Biechelbach,0
Biegen,0
Biel,0
Bielefeld,13
Bielsk,1
Bienenbüttel,0
Bienne,0
Biestow,1
Bietigheim,1
Bietow,1
Billigheim,0
Billmerich,0
Bingen,1
Binow,0
Binswangen,1
Binzwangen,0
Biolsterup?,0
Birkenfeld,0
Birkthälen,0
Birmendorf,0
Birmingham­England,0
Birnbaum,0
Birrwyl,0
Birstein,1
Bischoffszell,0
Bischofszell,1
Bishops,0
Bislich,0
Bissingen,1
Bissingen a.d. Enz,0
Bissingen a.E.,0
Bistritz,2
Bistriz,0
Bitschweiler-Thann,0
Bitterfeld,1
Bitzfeld,0
Bixschoote,1
Blankenburg,2
Blankenburg a. Harz,3
Blankenburg a.S.,1
Blankenburg i. Harz,1
Blankenburg i. Thüringen,1
Blankenese-Hamburg,1
Blaubeuren,7
Blaufelden,0
Blaumhöfen,0
Bleckendorf,1
Bleidenstadt?,0
Bleischwitz,1
Blesewitz,0
Blessenbach,0
Blexen,0
Blitzenreute,0
Blochingen,1
Blockwinkel,0
Bloney-sur-Vevey­Schweiz,1
Bludenz,0
Blumenau,1
Blumenau­Brasilien,1
Blumenthal,0
BNad Kissingen,1
Bnei Berak­Israel,1
Böblingen,7
Bochold,0
Bocholt-Suderwick,1
Bochum,6
Bochum-Linden,1
Bockenem,0
Bockenheim,0
Bockhorn,1
Bodelshausen,0
Bodenrode,0
Bodenwerder,0
Bodersweier,1
Boeckweiler,0
Boelschubye in Angeln,0
Boenen,0
Boennigheim,0
Boetzingen,0
Bogaren,0
Bogdona,1
Bogtorf,0
Böhmenkirch,0
Bohn,0
Bohndorf,0
Bohnlanden,0
Boholz,0
Bois de Cheppy­Frankreich,1
Boizenburg,1
Bokern,0
Bôle,0
Bolheim,0
Bolkow,0
Boll,1
Bollschweil,0
Boltringen,0
Bombay­[Indien],0
Bombay­Indien,1
Bombay­Ost-Indien,0
Bondorf,2
Bondry,0
Bondy,0
Bonfeld,0
Bongetowo?,0
Bönigheim,0
Bonn,25
Bonn a. Rhein,0
Bonn-Bad Godesberg,2
Bonn-Bad- Gordesberg,1
Bonn-Bad-Godesberg,1
Bönnigheim,3
Bopfingen,1
Boppard,2
Boppard a.Rh.,0
Bordeaux­Frankreich,0
Bordesholm,0
Borghausen,1
Borghorst,0
Borne,1
Borne­Holland,0
Bornhagen,0
Börninghausen,0
Bornstedt,0
Borrin,0
Borssum,1
Börsum,0
Börtlingen,0
Bösingen,0
Boßwyl,0
Boston­USA,0
Botenheim,0
Bothnang,0
Botnang,0
Bottenhorn,0
Bottrop,1
Bottschow,0
Bötzingen,1
Bouchain­Frankreich,1
Boudry,0
Boxberg,0
Boytzenburg (?) i.d. Uckermark,0
Bozen,1
Brackenheim,6
Brackenheim-Meimsheim,1
Bradford,0
Brake,1
Brakel,1
Braken,0
Braller,0
Brandenburg,0
Brandenburg a.d. Havel,1
Brandenburg a.d.H.,0
Brandenburg a.H.,0
Brandeville,1
Brandhölzle Gemeindebez. Möckmühl,0
Brandshagen,0
Bräunisheim,1
Braunlage,1
Bräunrode,0
Braunsbach,2
Braunsberg,0
Braunschweig,19
Braunschweiz,1
Braunweiler,0
Bray a.d. Somme­Frankreich,1
Breckerfeld,0
Brecklum,0
Breddewarden,0
Bredebeck,1
Bredenbeck,0
Bredham­England,0
Bredow,0
Bregenz,0
Bregenz [a. Bodensee],0
Brehne,1
Breidenbach,0
Breidenfleth,0
Breit???,0
Breitenberg,0
Breitenfeld,1
Breklum,0
Brelin,1
Bremen,32
Bremen-Neustadt,1
Bremen-Riensberg,1
Bremen-Vegesack,1
Bremerhaven,3
Bremerhaven],0
Bremervörde,0
Bremgarten,0
Brenz,0
Breslau,29
Brettach,0
Bretten,1
Brettheim,1
Breunsdorf,0
Brezany­Österreich,0
Brieg,1
Brig,0
Brik?,0
Brilon,0
Brisbane,1
Bristol­England,0
Brlin,0
Brochterbeck,1
Brody,0
Brokel,0
Bromberg,0
Bromstedt,0
Bronnhaupten,0
Bronnweiler,0
Brookline,1
Brookly,0
Brooklyn,1
Brooklyn­USA,2
Brossen,0
Bruchsal,1
Brüel,0
Brugg,0
Brühl,0
Brundelund,0
Brünn,0
Brüssel,1
Brüssel­Belgien,2
Bubendorf,0
Büblikon,0
Bublitz,0
Buch,0
Buch a.d. Elbe,0
Buchakern?,0
Buchau,5
Bücheloh,0
Buchenau,0
Buchs,0
Buchsweiler i. Unterelsass,0
Bückeburg,5
Budapest­Ungarn,4
Buda-Pest­Ungarn,0
Büdesheim i.d. Wetterau,0
Büdingen,0
Buedingen,0
Buenos Aires­Argentinien,0
Buenos Aires­Südamerika,0
Buenos Ayres­[Südamerika],0
Buer-Hassel,1
Buetow,0
Bühl,0
Bühler,0
Buhlerthann,0
Bühlerthann,0
Bühlheim a. Bach,0
Bukarest,0
Bukarest­Rumänien,1
Bumsti,1
Bunde,0
Bünde,1
Bunderhee,1
Bündorf,0
Bünge,0
Bunningstedt?,0
Bunzlau,1
Buoch,1
Buochs­Schweiz,1
Büren,1
Burg,0
Bürg,0
Burg ,0
Burg a. Fehmarn,1
Burgdorf,1
Burgdorf Aarau,0
Burghaslach,0
Burgk a.d. Saale,0
Burg-Lesum,0
Bürglingenfeld,0
Burgstaedt,0
Burgstall,0
Burgsteinfurt,1
Burhawe,0
Burkhalle,0
Burladingen-Salmendingen,1
Burrweiler i.d. Pfalz,0
Bursteinfurt,0
Burton­England,0
Bürzen,0
Bürzen[,0
Büsingen,2
Bußnau,0
Büssow,1
Büsum,1
Bütow,1
Bütow i. Hinterpommern,0
Bütschwil,0
Buttenhausen,1
Buttes,0
Buttforde,0
Butzbach,0
Bützow,0
Byszow,1
Caithness­Schottlands,0
Cal,0
Calau,0
Calbe,0
Calbe a.d Saale,0
Calbe a.d. Milde,0
Calbe a.d. Saale,0
Calbe a.d. Salle,0
Calcar,0
Calcutta­[Indien],0
Calcutta­Indien,0
Calicut­Indien,0
Calikut­Ostindien,0
Callies,0
Calmbach,0
Calw,19
Calw [i. Schwarzwald],0
Camberg,0
Cambrai­Frankreich,2
Cambridge,1
Cambridge­England,1
Camburg,1
Cambuslang­Schottland,0
Camen,0
Cammerswaldau,0
Cammin,0
Campen,1
Campiranto i. Engadin,0
Cannanore,0
Cannes­Frankreich,1
Cannstatt,59
Canstein,0
Cappeln,0
Carácas­Venuzuela,0
Carlsthal,0
Carm?,0
Carolinensiel,1
Cartersville,0
Carwieden,0
Cassel,0
Cassieck,0
Castell i. Unterfranken,0
Castrop,1
Caternberg,0
Catlenburg,0
Caub,0
Cay,0
Celle,8
Celliner Berge,1
Cesarea,0
Chaco­Paraguay,1
Chalon sur Marne­Frankreich,1
Cham,0
Champagne,1
Champigny,1
Changsha Hunan­China,1
Charlotte,1
Charlottenburg,0
Charlottenthal,0
Chateau-d'Oex,0
Châtelard,0
Chaux de Fonds,0
Chaux de Fonds­Schweiz,1
Chefoo­China,0
Chemin des dames,1
Chemnitz,1
Chêne,0
Chêne-Bourgeries,0
Chester-le-Street,1
Chevroux,0
Chicago,1
Chicago­USA,3
Chiemsee,1
Chikago,0
Christgarten,0
Christiansborg­Westafrika,0
Chur,6
Chur­Schweiz,7
Churwalden,0
Chwarszcienko,0
Ciauru­Rumänien,1
Cincinnati,3
Cincinnati­USA,0
Cirkwehrum,0
Clarens,0
Claustha,1
Clausthal,1
Cleve,0
Cleveland,1
Cleverns i. Jeverland,0
Cloppenburg,0
Coblenz,0
Coburg,4
Cochstedt,0
Cockstedt,0
Coepang auf Timor,0
Coerbelitz,0
Coerlin a.P.,0
Coesfeld,1
Coeslin,0
Coethen,0
Colbe a.d. Saale,0
Colberg,0
Colbert,0
Coldwater,0
Coligny­Schweiz,1
Cölleda,0
Cöllinghorst i. Ostfriesland,0
Cölln a.d. Elbe,0
Collochau,0
Collombier[,0
Colmar,2
Colmar­Frankreich,0
Cöln,0
Colombier­Schweiz,1
Colonia Suiza­Uruguay,1
Colorado Springs,1
Colsterdale Healey Masham U.P.,1
Comrie­[Schottland],0
Comrie­Schottland,0
Cönnern,0
Cönnern a.d. Saale,0
Conoo­Indien,0
Constantinopel­[Türkei],0
Constantinopel­Türkei,0
Contwig,1
Contwig i.d. Pfalz,0
Coppenbrügge,1
Corbach,0
Cortébert,0
Cöslin,0
Coswig,0
Cotes-aux-Fes ,0
Cöthen,0
Cöthen i.d. Mark Brandenburg,0
Cottbus,0
Crailshausen [Gmd. Schrozberg],0
Crailsheim,5
Cramon,1
Cranz,1
Crefeld,0
Creglingen,1
Crempe,0
Crengeldanz-Witten,0
Crepion­Frankreich,1
Crispendorf,0
Crispenhofen,0
Crivitz,0
Croepelin,0
Crölpa,0
Crone,0
Cronenberg,0
Cronstadt,0
Croppenstedt,0
Crossen a.d. Oder,0
Culm a.W.,0
Cülte,0
Cunnersdorf,0
Cupar-Jife­Schottland,0
Curckensdorf?,0
Curland,0
Cusel i.d. Pfalz,0
Cuxhafen,0
Cuxhaven,0
Czinkota­Ungarn,0
Daber,0
Dabernn,0
Dabrun,1
Dachrieden,0
Dachtel,0
Dadizeele­Belgien,1
Dagö-Keinis­Russland,0
Dahl,0
Dahlen,0
Dahlerbrück,0
Daisbach,0
Dalherda,0
Dalum,0
Damgard,0
Damgasten? i.P.,0
Damme,0
Dammendorf,1
Dankoltsweiler [Gmd.Jagstzell],0
Dannenberg,0
Dannigkow,0
Dannstadt i.d. Rheinpfalz,0
Danzig,6
Dargau,0
Darkehmen,0
Darmstadt,9
Darmstadt-Beßungen,0
Darnsheim,0
Dauelsen,0
Davos,3
Davos Platz,0
Davos-Platz,0
Davos­Schweiz,5
Debreczin­Ungarn,0
Debrunnen,0
Deckbergen,0
Dedeleben,1
Dedemsvaart­Holland,0
Dedersdorf,0
Dederstedt,1
Deensen,0
Deesdorf,1
Degerloch,7
Deggendorf,1
Deggingen,2
Dehrn,0
Deichshauen,0
Deilingen,0
Delaware,1
Delbrück,0
Delitzsch,1
Delmenhorst,1
Delsberg,0
Dembsk­Polen,1
Demmin,1
Demmin],0
Den Haag­Niederlande,1
Denkendorf,1
Denkingen,2
Denzlingen,1
Deppenhausen [Gmd. Kirchen,0
Derben,1
Derendingen,0
Dessau,3
Detmold,4
Detmold-Hiddesen,1
Detroit­USA,2
Dettenhausen,0
Dettingen,0
Dettingen a. Albuch,1
Dettingen a.d. Erms,0
Deuchelried,0
Deufringen,0
Deutsch-Crone,0
Deutz,0
Deyelsdorf,1
Dhünn,0
Diedelsheim,0
Diedesheim,0
Dielkirchen i.d. Rheinpfalz,0
Diepholz,0
Dießenhofen,0
Diestelbruch,0
Dietenheim,3
Dietenheim a.d. Iller,0
Dietenheim-Iller,1
Dietersdorf a. Harz,0
Dietersweiler,1
Diethardt,0
Dietingen,0
Dietlingen,0
Dietwil,0
Dietz a.d. Lahn,0
Diez,0
Diez a.d. Lahn,0
Dill,0
Dillborn,1
Dillenburg,0
Dillingen,0
Dill-Weißenstein,0
Dingelstedt a. Huy,1
Dinkelsbühl,1
Dinkslaken,0
Dirmingen,0
Dischingen,1
Disentis,0
Ditterswied,0
Dittichenrode,0
Ditton Hall­England,1
Ditzingen,1
Dixnuiden,1
Dizingen,0
Dlottowen,0
Dmbrevon,0
Dobberphul,0
Dobel,0
Döbeln,0
Doberan,2
Doberum,0
Dobrilugk],0
Dobrzyniow,1
Dockenhuden,1
Dodendorf,1
Doemitz,0
Doernberg,0
Doettingen,0
Döffingen,0
Dölgesheim,0
Döllstedt,1
Dolomiten,1
Domaine Barten,0
Domäne Altenburg,0
Dommitzsch,0
Donaueschingen,0
Donaustetten,0
Donauwörth,1
Donnstetten,0
Donon i.d. Vogesen,1
Donstetten,0
Donzdorf,0
Dorfkemmathen,0
Dorfmeckingen,0
Dormettingen,0
Dornach,0
Dornberg,0
Dörnberg a.d. Lahn,1
Dornburg,0
Dorndorf,0
Dornham,0
Dornhan,1
Dornholzhausen,1
Dornstetten,2
Dorpat,0
Dorpat­Estland,1
Dorpat­Livland,0
Dorpat­Russland,0
Dorste,1
Dorsten,0
Dortmund,7
Dortmund-Mengede,1
Dorum,0
Dörzbach,1
Dossenbach,1
Dötlingen,0
Dottingen,1
Döttingen,0
Döttingen a. Kocher,0
Dozndorf,0
Dozwil,1
Drebber,0
Dreden,1
Drense,0
Dresden,31
Dresden-Weißer Hirsch,1
Dreslincourt­Frankreich,1
Drevenack a.d. Wesel,1
Driesen,0
Drochtersen,0
Drohndorf,0
Drosedow,0
Drusewitz,0
Düben,0
Dublin­Irland,1
Duchally­Schottland,0
Ducherow,0
Düderode,0
Dühren,0
Duisburg,3
Duisburg [a. Rhein],0
Duisburg-Meiderich,1
Duliken,0
Dülken,0
Dülmen,0
Dünaburg,0
Dundee­Schotland,0
Dundee­Schottland,0
Dunoom­Schottland,0
Dünsbach,0
Duntzenheim,0
Dünzbach,0
Dunzendorf,0
Düppel,0
Dürbheim,0
Düren,1
Dürkheim a.H.,0
Dürkheim i.d. Pfalz,0
Durlach,2
Dürmentingen,0
Dürmenz,0
Dürmenz-Mühlacker,0
Dürrenberg,0
Dürrenwaldstetten,0
Dürrenzimmern,0
Dürrmenz,3
Dürrmenz Mühlacker,0
Dürrmenz-Mühlacker,0
Dürrn,0
Dürrwangen,0
Düshop,1
Düsseldorf,16
Düsseldorf a. Rhein,0
Düsseldorf-Düsseltal,1
Düsseldorf-Kaiserwerth,1
Duttenstedt,0
Düttingdorf,0
Duvin,0
Dykhausen,0
Ebenezer­Südafrika,0
Ebenweiler,0
Eberbach,0
Eberbach a.N.,0
Eberhardszell,0
Eberhardzell,1
Ebern,0
Ebersbach,0
Ebershardt,0
Eberswalde,3
Eberswald-Finow,1
Ebingen,4
Ebnat,0
Ebsdorf,1
Ebstorf,0
Echte,0
Echterdingen,0
Eckartsberga,0
Eckernförde,1
Eddigehausen,1
Edea­Kamerun,1
Edelfingen,0
Edenburg,0
Edenkoben,0
Edenkoben i. Rheinbaiern,0
Edermannsdorf,0
Edgartown­USA,0
Edinburg,0
Edinburgh[,0
Edinburgh­Schottland,1
Edinburghshire­Schottland,0
Edinburg­Schottland,1
Edingen,1
Effringen,0
Efringenn,0
Egestorf,1
Eggenstedt,2
Eggenstein,0
Eggenwyl,0
Eggstädt,1
Eglisau,0
Eglofs,0
Egnach,0
Egolsheim,0
Egstedt,1
Ehingen,11
Ehingen a.d. Donau,3
Ehningen,0
Ehrenbreitstein,0
Ehrenbreitstein a.Rh.,0
Ehrenfels,0
Ehrenfriedrichsdorf,0
Ehringsdorf,0
Eibensbach,0
Eibensdorf?,0
Eibingen,0
Eichelhütte,0
Eichstätt,1
Eichstetten,0
Eickeloh,0
Eickendorf,0
Eiderstedt,0
Eifel,1
Eigaltingen,0
Eigeltingen?,0
Eigenrieden,0
Eilenburg,1
Eilhausen,0
Einbeck,2
Einöd a.d. Saar,1
Einsiedeln,1
Einweiler,0
Eisenach,8
Eisenberg,0
Eiserfeld,0
Eisfeld,0
Eisleben,1
Eislingen,3
Eislingen-Göppingen,0
Eitzendorf,1
Ekenäs­Finnland,0
Elberfeld,1
Elbing,0
Elbingerode,0
Elbitz,0
Elburg­Holland,0
Eldagsen,0
Elend i. Harz,1
Elgersburg,0
Elgg,0
Elgin­Schottland,0
Elingerode,0
Elisabeththal,0
Elk Ridge­USA,1
Ellar,0
Ellenberg,1
Ellerrieden,0
Ellmansweiler,0
Ellmendingen,1
Ellwangen,37
Ellwangen a.d. Jagst,1
Elmlohe,1
Elmshorn i. Holstein,0
Elmstein,0
Elpersheim,0
Elsdorf,0
Elster,1
Elsterberg,1
Eltingen,0
Eltville,0
Eltville a. Rhein,0
Elwangen,1
Elze,0
Emden,5
Emden i. Ostfriesland,0
Emershausen,0
Emersleben,0
Emishofen,0
Emleben,1
Emmendingen,1
Emmerich,1
